repo,language,topics,default_branch,deploy_count,pr_count,deployments_per_week_median,deployments_per_week_p85,deployments_per_week_p95,pr_cycle_time_hours_median,pr_cycle_time_hours_p85,pr_cycle_time_hours_p95,sample_window_start,sample_window_end
"alibaba/nacos","Java","a2a-registry|ai-registry|alibaba|config|configuration-management|distributed-configuration|dns|dubbo|istio|kubernetes|mcp|mcp-management|mcp-registry|microservices|nacos|service-discovery|service-mesh|spring-cloud","develop","9","5","1.000","1.000","1.650","3.806","16.806","18.894","2024-10-12T06:55:33Z","2025-09-30T09:52:03Z"
"ant-design/ant-design","TypeScript","ant-design|antd|design-systems|react|typescript|ui-kit|ui-library","master","5","0","1.000","1.550","1.850","","","","2025-08-11T09:24:55Z","2025-09-17T07:54:16Z"
"apache/airflow","Python","airflow|apache|apache-airflow|automation|dag|data-engineering|data-integration|data-orchestrator|data-pipelines|data-science|elt|etl|machine-learning|mlops|orchestration|python|scheduler|workflow|workflow-engine|workflow-orchestration","main","15","68","1.000","1.000","1.350","17.478","205.890","1013.249","2024-11-05T11:03:28Z","2025-10-02T22:20:00Z"
"argoproj/argo-cd","Go","argo|argo-cd|cd|ci-cd|cicd|continuous-delivery|continuous-deployment|devops|docker|gitops|hacktoberfest|helm|jsonnet|kubernetes|kustomize|pipeline","master","73","124","2.000","3.650","5.000","56.286","707.474","1676.705","2024-10-10T12:57:49Z","2025-10-02T21:29:38Z"
"argoproj/argo-workflows","Go","airflow|argo|argo-workflows|batch-processing|cloud-native|cncf|dag|data-engineering|gitops|hacktoberfest|k8s|knative|kubernetes|machine-learning|mlops|pipelines|workflow|workflow-engine","main","19","136","1.000","2.000","2.000","115.334","808.313","1594.422","2024-10-07T18:14:02Z","2025-09-30T02:49:19Z"
"axios/axios","JavaScript","hacktoberfest|http-client|javascript|nodejs|promise","v1.x","5","1","1.000","2.400","2.800","11.118","11.118","11.118","2025-08-04T18:15:58Z","2025-10-01T15:18:49Z"
"backstage/backstage","TypeScript","backstage|cncf|developer-experience|developer-portal|dx|infrastructure|microservices|self-service-portal","master","45","274","1.000","3.000","3.750","71.923","606.765","1310.915","2024-10-03T15:06:56Z","2025-10-02T15:12:14Z"
"bitnami-labs/sealed-secrets","Go","devops-workflow|encrypt-secrets|gitops|kubernetes|kubernetes-secrets","main","18","45","2.000","2.000","3.200","1.298","237.611","509.688","2024-10-04T06:22:44Z","2025-09-15T09:42:45Z"
"bluewave-labs/Checkmate","JavaScript","good-first-contribution|good-first-issue|good-first-project|hacktoberfest|help-wanted|incident|infrastructure|infrastructure-monitoring|mui|mui-material|server-monitor|server-monitoring|server-monitoring-tools|statuspage|uptime|uptime-checker|uptime-monitor|uptime-monitoring|uptime-status|uptimerobot","develop","20","928","1.000","2.000","2.350","2.523","50.196","117.364","2024-10-07T03:07:37Z","2025-10-02T20:35:41Z"
"bytebase/bytebase","Go","cicd|data-masking|data-security|database-access|dbeaver|devsecops|flyway|gitops|liquibase|mongodb|mysql|oracle|pam|postgresql|schema-migrations|security|snowflake|sql-client|sqlserver|tidb","main","26","236","1.000","1.000","1.000","0.266","4.156","18.727","2024-10-10T06:17:16Z","2025-10-02T21:05:28Z"
